coincidences discrepancies reprod_index
7571274 205 0 1
7551863 202 0 1
7570347 203 0 1
7554162 206 0 1
7527359 208 0 1
7526865 201 0 1
7538094 212 0 1
7552769 203 0 1
7525714 209 0 1
7557846 212 0 1
7561185 213 0 1
7535878 213 0 1
7531357 212 0 1
7532766 210 0 1
7532186 213 0 1
7540876 207 0 1
7553865 214 0 1
7571844 203 0 1
7555590 215 0 1
7531443 208 0 1
7546989 192 0 1
7528659 201 0 1
7532482 218 0 1
7555516 208 0 1
7562793 206 0 1
7599312 201 0 1
7544758 217 0 1
7549487 199 0 1
7549223 199 0 1
7528637 211 0 1
7551348 214 0 1
7550421 212 0 1
7527927 213 0 1
7526208 186 0 1
7574159 200 0 1
7544354 204 0 1
7604358 211 0 1
7526577 191 0 1
7603411 214 0 1
7526814 207 0 1
7540577 212 0 1
7570436 214 0 1
7537918 215 0 1
7566885 204 0 1
7556191 204 0 1
7546726 206 0 1
7553297 196 0 1
7539328 205 0 1
7558537 206 0 1
7572219 196 0 1
7631958 211 0 1
7526649 210 0 1
7568161 203 0 1
7565057 214 0 1
7540795 215 0 1
7535017 195 0 1
7542511 212 0 1
7527210 214 0 1
7547220 216 0 1
7623812 203 0 1
7554377 204 0 1
7527554 211 0 1
7618912 205 0 1
7621669 201 0 1
7564408 189 0 1
7540697 209 0 1
7532679 213 0 1
7574556 214 0 1
7528129 213 0 1
7530017 215 0 1
7558539 204 0 1
7526244 196 0 1
7555354 215 0 1
7527117 206 0 1
7564549 212 0 1
7528376 209 0 1
7570590 217 0 1
7623242 201 0 1
7527036 212 0 1
7571480 204 0 1
7526473 198 0 1
7553249 210 0 1
7532592 210 0 1
7543881 211 0 1
7540382 199 0 1
7566484 197 0 1
7543821 204 0 1
7526516 203 0 1
7541106 213 0 1
7552287 198 0 1
7632658 198 0 1
7553655 195 0 1
7526007 198 0 1
7534341 212 0 1
7548440 217 0 1
7549992 211 0 1
7528131 207 0 1
7544503 213 0 1
7568774 206 0 1
7545983 202 0 1
7568812 201 0 1
7540845 200 0 1
7541588 204 0 1
7566959 212 0 1
7530781 196 0 1
7572478 207 0 1
7526370 210 0 1
7530089 209 0 1
7571020 200 0 1
7540640 197 0 1
7574338 207 0 1
7525957 198 0 1
7551281 210 0 1
7544109 212 0 1
7526008 211 0 1
7574754 205 0 1
7557925 199 0 1
7561777 206 0 1
7528792 209 0 1
7546777 212 0 1
7553004 206 0 1
7535018 210 0 1
9848125 207 0 1
7545115 210 0 1
7546062 194 0 1
7547810 208 0 1
7528508 199 0 1
7567211 202 0 1
7543046 211 0 1
7525819 199 0 1
7533077 204 0 1
7570116 210 0 1
7540984 212 0 1
7531707 210 0 1
7565070 211 0 1
7540145 197 0 1
7541633 204 0 1
7526742 204 0 1
7528480 197 0 1
7566721 214 0 1
7544986 215 0 1
7631563 202 0 1
7529162 209 0 1
7550017 210 0 1
7548264 203 0 1
7529844 201 0 1
7526909 201 0 1
7527687 210 0 1
7545271 206 0 1
7546748 199 0 1
7527696 212 0 1
7561779 201 0 1
7534458 210 0 1
7548324 207 0 1
7541675 197 0 1
7626018 210 0 1
7565047 198 0 1
7572048 197 0 1
7572275 198 0 1
7556863 208 0 1
7542665 209 0 1
7540748 203 0 1
7566401 208 0 1
9848610 209 0 1
7530795 210 0 1
7572844 203 0 1
7542702 215 0 1
7541586 205 0 1
7574046 195 0 1
9848088 204 0 1
7530298 211 0 1
7541034 205 0 1
7558668 203 0 1
7541120 201 0 1
7538173 198 0 1
7570063 222 0 1
7530588 195 0 1
7530112 216 0 1
7540788 212 0 1
9847647 173 0 1
7627145 207 0 1
7568368 203 0 1
7551656 201 0 1
7567576 216 0 1
7563665 208 0 1
7570902 191 0 1
7602885 214 0 1
7567180 206 0 1
7527217 203 0 1
7526762 202 0 1
7567469 210 0 1
7570109 201 0 1
7560521 194 0 1
7568040 201 0 1
7533758 204 0 1
7618573 197 0 1
7557935 198 0 1
7530100 206 0 1
7573863 209 0 1
7566988 212 0 1
7530684 200 0 1
7529464 212 0 1
7530811 203 0 1
7564056 205 0 1
7569054 207 0 1
7538187 213 0 1
7532726 209 0 1
7546345 199 0 1
7605654 209 0 1
7562615 209 0 1
7526253 209 0 1
7547090 219 0 1
7570518 210 0 1
7569832 197 0 1
7528848 214 0 1
7526948 202 0 1
7538786 200 0 1
7548522 202 0 1
9838495 214 0 1
7572350 215 0 1
7564137 200 0 1
7525991 205 0 1
7604548 202 0 1
7572602 205 0 1
7545185 209 0 1
7549050 208 0 1
7569693 205 0 1
7527227 216 0 1
7628145 210 0 1
7532890 205 0 1
7557916 208 0 1
7527100 218 0 1
9841918 210 0 1
7528931 211 0 1
7531298 212 0 1
7532964 205 0 1
14512006 212 0 1
7574867 216 0 1
7554234 192 0 1
7564958 199 0 1
7530396 205 0 1
7525782 202 0 1
7554843 202 0 1
7546705 197 0 1
7539411 202 0 1
7569009 202 0 1
7530442 214 0 1
7558925 208 0 1
7530189 207 0 1
7568038 204 0 1
7528343 206 0 1
7551471 203 0 1
7527420 195 0 1
7564451 207 0 1
7574624 208 0 1
7556157 203 0 1
7538658 205 0 1
7570348 200 0 1
7560439 210 0 1
7574995 222 0 1
7529456 203 0 1
7530470 212 0 1
7531064 216 0 1
7562046 209 0 1
7526790 202 0 1
7572367 208 0 1
7539084 212 0 1
7599555 200 0 1
7533302 215 0 1
7561426 212 0 1
7538837 206 0 1
7541685 214 0 1
7621910 202 0 1
7574374 197 0 1
7572697 199 0 1
7542749 198 0 1
7527864 218 0 1
7559421 207 0 1
7567484 214 0 1
7531055 205 0 1
7526316 207 0 1
7526451 201 0 1
7573082 201 0 1
7623334 213 0 1
7553486 208 0 1
7527265 209 0 1
7563270 213 0 1
7526189 207 0 1
7565572 206 0 1
7552476 203 0 1
7530572 210 0 1
7540506 210 0 1
7567887 208 0 1
7610240 188 0 1
7526622 205 0 1
7572797 194 0 1
7572934 199 0 1
7544518 207 0 1
7562113 194 0 1
7547534 204 0 1
7530732 196 0 1
7528767 207 0 1
7540724 218 0 1
7530578 205 0 1
7532294 209 0 1
7550864 216 0 1
7599828 197 0 1
7527284 220 0 1
7560982 208 0 1
7547742 208 0 1
7527060 201 0 1
7599558 204 0 1
7573472 206 0 1
7540550 197 0 1
7551483 202 0 1
7566382 200 0 1
7533068 208 0 1
7549395 173 0 1
7532148 206 0 1
7541018 211 0 1
7629304 206 0 1
7570086 216 0 1
7603292 214 0 1
7628877 205 0 1
7574838 205 0 1
7532846 212 0 1
7531151 203 0 1
7528326 193 0 1
7567047 207 0 1
7549227 204 0 1
7547078 206 0 1
7531132 211 0 1
7631146 204 0 1
7547642 206 0 1
7536145 200 0 1
7573487 210 0 1
7530453 205 0 1
7565041 208 0 1
7626982 215 0 1
7556752 205 0 1
7545914 197 0 1
7558316 198 0 1
7569828 200 0 1
7533200 206 0 1
7569511 219 0 1
7559239 214 0 1
7548556 196 0 1
7562294 210 0 1
7563464 203 0 1
7526694 195 0 1
7573907 212 0 1
7570060 205 0 1
7562353 204 0 1
7532780 206 0 1
7527426 213 0 1
7541233 209 0 1
7554650 207 0 1
7553165 201 0 1
7613148 214 0 1
7564298 210 0 1
7526559 195 0 1
7571236 208 0 1
7570193 206 0 1
7567129 203 0 1
7548121 199 0 1
7528569 211 0 1
7553170 208 0 1
7540613 200 0 1
7527608 202 0 1
7526884 221 0 1
7554770 208 0 1
7526258 195 0 1
7557514 194 0 1
7544817 201 0 1
7561367 208 0 1
7530863 212 0 1
7570627 189 0 1
7531698 202 0 1
7528912 202 0 1
7545154 215 0 1
7603726 221 0 1
7567670 208 0 1
7539511 214 0 1
7535525 210 0 1
7561502 205 0 1
7543607 214 0 1
7533642 206 0 1
7531297 205 0 1
7527194 199 0 1
7546036 203 0 1
7542351 213 0 1
7526495 197 0 1
7525766 210 0 1
7553731 205 0 1
7622566 203 0 1
7528625 207 0 1
7534625 221 0 1
7573941 204 0 1
7530926 205 0 1
7545235 203 0 1
7562637 220 0 1
7557402 198 0 1
7565179 207 0 1
7540868 215 0 1
7572503 194 0 1
7528410 210 0 1
7541385 202 0 1
7553800 205 0 1
7525915 211 0 1
7530044 212 0 1
7621392 211 0 1
7568908 215 0 1
7561769 209 0 1
7602348 201 0 1
7528465 198 0 1
7575131 216 0 1
7531284 202 0 1
7531725 212 0 1
7558748 204 0 1
7557115 198 0 1
7620456 200 0 1
7557066 210 0 1
7535713 213 0 1
7558081 209 0 1
7571750 208 0 1
7538539 207 0 1
7526763 202 0 1
7526246 210 0 1
7619138 202 0 1
7561611 190 0 1
7535503 202 0 1
7541837 210 0 1
7553382 207 0 1
7541221 223 0 1
7556786 208 0 1
7631020 194 0 1
7570618 208 0 1
7528778 203 0 1
7601670 213 0 1
7529490 206 0 1
7573671 208 0 1
7564281 211 0 1
7573879 202 0 1
7565818 200 0 1
7558135 206 0 1
7550422 201 0 1
7540279 203 0 1
7546788 208 0 1
7565443 186 0 1
7543015 210 0 1
7568606 204 0 1
7540711 189 0 1
7571816 220 0 1
7526483 199 0 1
7563748 211 0 1
7526558 202 0 1
7570123 203 0 1
7554226 201 0 1
7531102 200 0 1
7532389 214 0 1
7529555 206 0 1
